Dist Strokes
1,1.001
2,1.009
3,1.053
4,1.147
5,1.256
6,1.357
7,1.443
7.8,1.5
8,1.515
9,1.575
10,1.626
11,1.669
12,1.705
13,1.737
14,1.765
15,1.79
16,1.811
17,1.83
18,1.848
19,1.863
20,1.878
21,1.891
22,1.903
23,1.914
24,1.924
25,1.934
26,1.944
27,1.953
28,1.961
29,1.97
30,1.978
31,1.993
32,1.993
33,2.001
34,2.009
35,2.016
36,2.024
37,2.032
38,2.039
39,2.047
40,2.055
41,2.062
42,2.07
43,2.078
44,2.086
45,2.094
46,2.102
47,2.11
48,2.118
49,2.127
50,2.135
51,2.143
52,2.152
53,2.16
54,2.168
55,2.177
56,2.185
57,2.193
58,2.202
59,2.21
60,2.218
61,2.226
62,2.234
63,2.242
64,2.25
65,2.257
66,2.265
67,2.272
68,2.279
69,2.286
70,2.293
71,2.299
72,2.306
73,2.312
74,2.318
75,2.324
76,2.329
77,2.334
78,2.339
79,2.344
80,2.349
81,2.353
82,2.357
83,2.361
84,2.364
85,2.367
86,2.37
87,2.373
88,2.375
89,2.377
90,2.379
91,2.381
92,2.382
93,2.383
94,2.384
95,2.384
96,2.384
97,2.384
98,2.383
99,2.383
100,2.382
